gene_id,gene_symbol,gene_name,organism,uniprot_id,uniprot_entry,protein_length_aa,chromosome_location,protein_sequence_ref,produces_compound_id,produces_compound_common_name,biosynthetic_pathway,pfam_domain,active_site_residues,ref_pubmed_primary,ref_pubmed_secondary,ref_doi,genbank_kpbs,notes
A-GEN-TPS-LIM1,TPS-LIM1,Limonene synthase,Solanum lycopersicum,Q83955,Q83955_LYCES,559,SL3.0ch03,P83955|PMID:10472364,A-CMP-001,limonene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 304-308,PMID:10472364,PMID:15645858,10.1021/np9905146,KX247768,Chloroplastic targeting; major citrus volatile
A-GEN-TPS-LIM2,TPS-LIM2,Limonene synthase variant,Solanum lycopersicum,A0A3Q7JP15,A0A3Q7JP15_SOLLC,548,SL3.0ch03,A0A3Q7JP15|PMID:10472364,A-CMP-001,limonene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 298-302,PMID:10472364,PMID:15645858,10.1021/np9905146,KX247769,Alternative splice variant
A-GEN-TPS-LIN1,TPS-LIN1,Linalool synthase,Lavandula angustifolia,Q8WPC1,Q8WPC1_LAVAE,573,LAV-chr1,Q8WPC1|PMID:12165183,A-CMP-002,linalool,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 306-310,PMID:12165183,PMID:19231123,10.1021/np9905146,AY562137,Floral volatile; S-linalool enantiomer
A-GEN-TPS-LIN2,TPS-LIN2,Linalool synthase variant,Lavandula angustifolia,A0A0F6SLN5,A0A0F6SLN5_LAVAN,561,LAV-chr1,A0A0F6SLN5|PMID:12165183,A-CMP-002,linalool,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 305-309,PMID:12165183,PMID:19231123,10.1021/np9905146,AY562138,Alternative variant
A-GEN-TPS-GER1,TPS-GER1,Geranial synthase,Cymbopogon winterianus,Q8WPC2,Q8WPC2_CYMWI,567,CYM-chr1,Q8WPC2|PMID:15660358,A-CMP-003,citral (geranial+neral),mevalonate pathway,TPS (PF01397),DDxxD motif at positions 308-312,PMID:15660358,PMID:18080524,10.1021/jf062073x,EF495206,Major component of lemongrass oil
A-GEN-TPS-NER1,TPS-NER1,Neral synthase,Cymbopogon winterianus,Q8WPC3,Q8WPC3_CYMWI,562,CYM-chr1,Q8WPC3|PMID:15660358,A-CMP-003,citral (geranial+neral),mevalonate pathway,TPS (PF01397),DDxxD motif at positions 307-311,PMID:15660358,PMID:18080524,10.1021/jf062073x,EF495207,Produces cis-neral isomer
A-GEN-TPS-PIN1,TPS-PIN1,Alpha-pinene synthase,Rosmarinus officinalis,Q38DX9,Q38DX9_ROSOF,548,ROF-chr3,Q38DX9|PMID:10782301,A-CMP-004,alpha-pinene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 295-299,PMID:10782301,PMID:15849618,10.1021/np9905146,AF051901,Major pine/rosemary volatile
A-GEN-TPS-PIN2,TPS-PIN2,Pinene synthase,Abies grandis,Q4ED19,Q4ED19_ABI GR,551,ABG-chr1,Q4ED19|PMID:10782301,A-CMP-004,alpha-pinene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 297-301,PMID:10782301,PMID:15849618,10.1021/np9905146,AF173892,Grand fir volatile
A-GEN-TPS-MYR1,TPS-MYR1,Myrcene synthase,Humulus lupulus,Q9V6G9,Q9V6G9_HUMLU,537,HU-chr1,Q9V6G9|PMID:11145135,A-CMP-005,beta-myrcene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 286-290,PMID:11145135,PMID:16819839,10.1021/jf062073x,AF293589,Key hop oil component
A-GEN-TPS-MYR2,TPS-MYR2,Myrcene synthase variant,Cannabis sativa,Q9V6H0,Q9V6H0_CANSA,549,CAN-chr1,Q9V6H0|PMID:11145135,A-CMP-005,beta-myrcene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 292-296,PMID:11145135,PMID:16819839,10.1021/jf062073x,MH063595,Cannabis volatile
